Order Date,Region,Category,Sales,Profit
08-11-2016,South,Furniture,261.96,41.9136
08-11-2016,South,Furniture,731.94,219.582
12-06-2016,West,Office Supplies,14.62,6.8714
11-10-2015,South,Furniture,957.5775,-383.031
11-10-2015,South,Office Supplies,22.368,2.5164
09-06-2014,West,Furniture,48.86,14.1694
09-06-2014,West,Office Supplies,7.28,1.9656
09-06-2014,West,Technology,907.152,90.7152
09-06-2014,West,Office Supplies,18.504,5.7825
09-06-2014,West,Office Supplies,114.9,34.47
09-06-2014,West,Furniture,1706.184,85.3092
09-06-2014,West,Technology,911.424,68.3568
15-04-2017,South,Office Supplies,15.552,5.4432
05-12-2016,West,Office Supplies,407.976,132.5922
22-11-2015,Central,Office Supplies,68.81,-123.858
22-11-2015,Central,Office Supplies,2.544,-3.816
11-11-2014,Central,Office Supplies,665.88,13.3176
13-05-2014,West,Office Supplies,55.5,9.99
27-08-2014,West,Office Supplies,8.56,2.4824
27-08-2014,West,Technology,213.48,16.011
27-08-2014,West,Office Supplies,22.72,7.384
09-12-2016,Central,Office Supplies,19.46,5.0596
09-12-2016,Central,Office Supplies,60.34,15.6884
16-07-2017,East,Furniture,71.372,-1.0196
25-09-2015,West,Furniture,1044.63,240.2649
16-01-2016,West,Office Supplies,11.648,4.2224
16-01-2016,West,Technology,90.57,11.7741
17-09-2015,East,Furniture,3083.43,-1665.0522
17-09-2015,East,Office Supplies,9.618,-7.0532
17-09-2015,East,Furniture,124.2,15.525
17-09-2015,East,Office Supplies,3.264,1.1016
17-09-2015,East,Office Supplies,86.304,9.7092
17-09-2015,East,Office Supplies,6.858,-5.715
17-09-2015,East,Office Supplies,15.76,3.546
19-10-2017,Central,Office Supplies,29.472,9.9468
08-12-2016,Central,Technology,1097.544,123.4737
08-12-2016,Central,Furniture,190.92,-147.963
27-12-2015,Central,Office Supplies,113.328,35.415
27-12-2015,Central,Furniture,532.3992,-46.9764
27-12-2015,Central,Furniture,212.058,-15.147
27-12-2015,Central,Technology,371.168,41.7564
10-09-2017,Central,Technology,147.168,16.5564
17-07-2016,West,Office Supplies,77.88,3.894
19-09-2017,South,Office Supplies,95.616,9.5616
11-03-2016,Central,Technology,45.98,19.7714
11-03-2016,Central,Office Supplies,17.46,8.2062
20-10-2014,Central,Office Supplies,211.96,8.4784
20-06-2016,East,Technology,45,4.95
20-06-2016,East,Technology,21.8,6.104
18-04-2015,Central,Office Supplies,38.22,17.9634
18-04-2015,Central,Office Supplies,75.18,35.3346
18-04-2015,Central,Furniture,6.16,2.9568
18-04-2015,Central,Furniture,89.99,17.0981
11-12-2016,East,Office Supplies,15.26,6.2566
11-12-2016,East,Technology,1029.95,298.6855
17-06-2016,East,Office Supplies,208.56,52.14
17-06-2016,East,Office Supplies,32.4,15.552
17-06-2016,East,Furniture,319.41,7.098
17-06-2016,East,Office Supplies,14.56,6.9888
17-06-2016,East,Technology,30,3.3
17-06-2016,East,Office Supplies,48.48,16.362
17-06-2016,East,Office Supplies,1.68,0.84
24-11-2015,West,Technology,13.98,6.1512
24-11-2015,West,Office Supplies,25.824,9.3612
24-11-2015,West,Office Supplies,146.73,68.9631
24-11-2015,West,Furniture,79.76,22.3328
30-04-2015,Central,Furniture,213.115,-15.2225
05-12-2014,West,Office Supplies,1113.024,111.3024
05-12-2014,West,Technology,167.968,62.988
04-06-2016,South,Office Supplies,75.88,35.6636
18-09-2016,East,Office Supplies,4.616,1.731
14-09-2017,Central,Office Supplies,19.05,8.763
26-04-2015,South,Furniture,831.936,-114.3912
26-04-2015,South,Furniture,97.04,1.213
